2023-09-29 08:31:43
0.001125,0.001,images/Madeleine holes/2D/NRB/0holesNRB.png,1.0,9.074410163339382e-05
0.0012749999999999999,0.001,images/Madeleine holes/2D/NRB/0holesNRB.png,1.0,9.074410163339382e-05
0.0014249999999999998,0.001,images/Madeleine holes/2D/NRB/0holesNRB.png,1.0,9.074410163339382e-05
2023-09-29 08:34:04
x,y,image_filename,exposure_time,black_pixel_dwell_time
7.5e-05,0.001125,images/Madeleine holes/2D/NRB/1holesNRB.png,1.0,9.074410163339382e-05
0.000225,0.001125,images/Madeleine holes/2D/NRB/1holesNRB.png,1.0,9.074410163339382e-05
0.00037499999999999995,0.001125,images/Madeleine holes/2D/NRB/1holesNRB.png,1.0,9.074410163339382e-05
0.000525,0.001125,images/Madeleine holes/2D/NRB/1holesNRB.png,1.0,9.074410163339382e-05
0.0006749999999999999,0.001125,images/Madeleine holes/2D/NRB/1holesNRB.png,1.0,9.074410163339382e-05
0.0008249999999999999,0.001125,images/Madeleine holes/2D/NRB/1holesNRB.png,1.0,9.074410163339382e-05
0.000975,0.001125,images/Madeleine holes/2D/NRB/1holesNRB.png,1.0,9.074410163339382e-05
0.001125,0.001125,images/Madeleine holes/2D/NRB/1holesNRB.png,1.0,9.074410163339382e-05
0.0012749999999999999,0.001125,images/Madeleine holes/2D/NRB/1holesNRB.png,1.0,9.074410163339382e-05
0.0014249999999999998,0.001125,images/Madeleine holes/2D/NRB/1holesNRB.png,1.0,9.074410163339382e-05
2023-09-29 08:34:38
x,y,image_filename,exposure_time,black_pixel_dwell_time
7.5e-05,0.00125,images/Madeleine holes/2D/NRB/2holesNRB.png,1.0,9.074410163339382e-05
0.000225,0.00125,images/Madeleine holes/2D/NRB/2holesNRB.png,1.0,9.074410163339382e-05
0.00037499999999999995,0.00125,images/Madeleine holes/2D/NRB/2holesNRB.png,1.0,9.074410163339382e-05
0.000525,0.00125,images/Madeleine holes/2D/NRB/2holesNRB.png,1.0,9.074410163339382e-05
0.0006749999999999999,0.00125,images/Madeleine holes/2D/NRB/2holesNRB.png,1.0,9.074410163339382e-05
0.0008249999999999999,0.00125,images/Madeleine holes/2D/NRB/2holesNRB.png,1.0,9.074410163339382e-05
0.000975,0.00125,images/Madeleine holes/2D/NRB/2holesNRB.png,1.0,9.074410163339382e-05
0.001125,0.00125,images/Madeleine holes/2D/NRB/2holesNRB.png,1.0,9.074410163339382e-05
0.0012749999999999999,0.00125,images/Madeleine holes/2D/NRB/2holesNRB.png,1.0,9.074410163339382e-05
0.0014249999999999998,0.00125,images/Madeleine holes/2D/NRB/2holesNRB.png,1.0,9.074410163339382e-05
2023-09-29 08:34:58
x,y,image_filename,exposure_time,black_pixel_dwell_time
7.5e-05,0.001375,images/Madeleine holes/2D/NRB/3holesNRB.png,1.0,9.074410163339382e-05
0.000225,0.001375,images/Madeleine holes/2D/NRB/3holesNRB.png,1.0,9.074410163339382e-05
0.00037499999999999995,0.001375,images/Madeleine holes/2D/NRB/3holesNRB.png,1.0,9.074410163339382e-05
0.000525,0.001375,images/Madeleine holes/2D/NRB/3holesNRB.png,1.0,9.074410163339382e-05
0.0006749999999999999,0.001375,images/Madeleine holes/2D/NRB/3holesNRB.png,1.0,9.074410163339382e-05
0.0008249999999999999,0.001375,images/Madeleine holes/2D/NRB/3holesNRB.png,1.0,9.074410163339382e-05
0.000975,0.001375,images/Madeleine holes/2D/NRB/3holesNRB.png,1.0,9.074410163339382e-05
0.001125,0.001375,images/Madeleine holes/2D/NRB/3holesNRB.png,1.0,9.074410163339382e-05
0.0012749999999999999,0.001375,images/Madeleine holes/2D/NRB/3holesNRB.png,1.0,9.074410163339382e-05
0.0014249999999999998,0.001375,images/Madeleine holes/2D/NRB/3holesNRB.png,1.0,9.074410163339382e-05
2023-09-29 08:35:16
x,y,image_filename,exposure_time,black_pixel_dwell_time
7.5e-05,0.0015,images/Madeleine holes/2D/NRB/4holesNRB.png,1.0,9.074410163339382e-05
0.000225,0.0015,images/Madeleine holes/2D/NRB/4holesNRB.png,1.0,9.074410163339382e-05
0.00037499999999999995,0.0015,images/Madeleine holes/2D/NRB/4holesNRB.png,1.0,9.074410163339382e-05
0.000525,0.0015,images/Madeleine holes/2D/NRB/4holesNRB.png,1.0,9.074410163339382e-05
0.0006749999999999999,0.0015,images/Madeleine holes/2D/NRB/4holesNRB.png,1.0,9.074410163339382e-05
0.0008249999999999999,0.0015,images/Madeleine holes/2D/NRB/4holesNRB.png,1.0,9.074410163339382e-05
0.000975,0.0015,images/Madeleine holes/2D/NRB/4holesNRB.png,1.0,9.074410163339382e-05
0.001125,0.0015,images/Madeleine holes/2D/NRB/4holesNRB.png,1.0,9.074410163339382e-05
0.0012749999999999999,0.0015,images/Madeleine holes/2D/NRB/4holesNRB.png,1.0,9.074410163339382e-05
0.0014249999999999998,0.0015,images/Madeleine holes/2D/NRB/4holesNRB.png,1.0,9.074410163339382e-05
2023-09-29 08:36:13
x,y,image_filename,exposure_time,black_pixel_dwell_time
-7.5e-05,0.001,images/Madeleine holes/2D/NRB/0holesNRB.png,1.0,9.074410163339382e-05
2023-09-29 08:36:50
x,y,image_filename,exposure_time,black_pixel_dwell_time
0.0,0.001625,images/Madeleine holes/2D/NRB/-4holesNRB.png,2.0,0.00018148820326678765
2023-09-29 08:39:08
x,y,image_filename,exposure_time,black_pixel_dwell_time
0.0,0.00175,images/Madeleine holes/2D/NRB/-4holesNRB.png,2.0,0.00018148820326678765
0.00015,0.00175,images/Madeleine holes/2D/NRB/-4holesNRB.png,2.0,0.00018148820326678765
0.0003,0.00175,images/Madeleine holes/2D/NRB/-4holesNRB.png,2.0,0.00018148820326678765
0.00045,0.00175,images/Madeleine holes/2D/NRB/-4holesNRB.png,2.0,0.00018148820326678765
0.0006,0.00175,images/Madeleine holes/2D/NRB/-4holesNRB.png,2.0,0.00018148820326678765
