2023-07-11 11:09:25
x,y,image_filename,exposure_time,black_pixel_dwell_time
0.0,0.0005,images/Madeleine holes/2D/-4holes2D.png,0.05,4.537205081669692e-06
0.00015,0.0005,images/Madeleine holes/2D/-4holes2D.png,0.25,2.2686025408348456e-05
0.0003,0.0005,images/Madeleine holes/2D/-4holes2D.png,0.5,4.537205081669691e-05
0.00045,0.0005,images/Madeleine holes/2D/-4holes2D.png,0.75,6.805807622504538e-05
0.0006,0.0005,images/Madeleine holes/2D/-4holes2D.png,1.0,9.074410163339382e-05
0.0007499999999999999,0.0005,images/Madeleine holes/2D/-4holes2D.png,1.25,0.00011343012704174228
0.0009,0.0005,images/Madeleine holes/2D/-4holes2D.png,1.5,0.00013611615245009076
0.00105,0.0005,images/Madeleine holes/2D/-4holes2D.png,2.0,0.00018148820326678765
0.0012,0.0005,images/Madeleine holes/2D/-4holes2D.png,2.5,0.00022686025408348456
0.0013499999999999999,0.0005,images/Madeleine holes/2D/-4holes2D.png,3.0,0.0002722323049001815
0.0014999999999999998,0.0005,images/Madeleine holes/2D/-4holes2D.png,5.0,0.00045372050816696913
2023-07-11 11:09:49
x,y,image_filename,exposure_time,black_pixel_dwell_time
0.0,0.00075,images/Madeleine holes/2D/-3holes2D.png,0.05,4.537205081669692e-06
0.00015,0.00075,images/Madeleine holes/2D/-3holes2D.png,0.25,2.2686025408348456e-05
0.0003,0.00075,images/Madeleine holes/2D/-3holes2D.png,0.5,4.537205081669691e-05
0.00045,0.00075,images/Madeleine holes/2D/-3holes2D.png,0.75,6.805807622504538e-05
0.0006,0.00075,images/Madeleine holes/2D/-3holes2D.png,1.0,9.074410163339382e-05
0.0007499999999999999,0.00075,images/Madeleine holes/2D/-3holes2D.png,1.25,0.00011343012704174228
0.0009,0.00075,images/Madeleine holes/2D/-3holes2D.png,1.5,0.00013611615245009076
0.00105,0.00075,images/Madeleine holes/2D/-3holes2D.png,2.0,0.00018148820326678765
0.0012,0.00075,images/Madeleine holes/2D/-3holes2D.png,2.5,0.00022686025408348456
