2023-07-05 14:24:33
x,y,image_filename,exposure_time,black_pixel_dwell_time
0.0,0.0005,images/Madeleine holes/2D/-4holes2D.png,0.14672,1.3313974591651542e-05
0.00015,0.0005,images/Madeleine holes/2D/-4holes2D.png,0.7335999999999999,6.65698729582577e-05
0.0003,0.0005,images/Madeleine holes/2D/-4holes2D.png,1.4671999999999998,0.0001331397459165154
0.00045,0.0005,images/Madeleine holes/2D/-4holes2D.png,2.2007999999999996,0.0001997096188747731
0.0006,0.0005,images/Madeleine holes/2D/-4holes2D.png,2.9343999999999997,0.0002662794918330308
0.0007499999999999999,0.0005,images/Madeleine holes/2D/-4holes2D.png,3.6679999999999997,0.00033284936479128856
0.0009,0.0005,images/Madeleine holes/2D/-4holes2D.png,4.401599999999999,0.0003994192377495462
0.00105,0.0005,images/Madeleine holes/2D/-4holes2D.png,5.868799999999999,0.0005325589836660616
0.0012,0.0005,images/Madeleine holes/2D/-4holes2D.png,7.335999999999999,0.0006656987295825771
0.0013499999999999999,0.0005,images/Madeleine holes/2D/-4holes2D.png,8.803199999999999,0.0007988384754990924
0.0014999999999999998,0.0005,images/Madeleine holes/2D/-4holes2D.png,14.671999999999999,0.0013313974591651543
2023-07-05 14:25:31
x,y,image_filename,exposure_time,black_pixel_dwell_time
0.0,0.00075,images/Madeleine holes/2D/-3holes2D.png,0.14672,1.3313974591651542e-05
0.00015,0.00075,images/Madeleine holes/2D/-3holes2D.png,0.7335999999999999,6.65698729582577e-05
0.0003,0.00075,images/Madeleine holes/2D/-3holes2D.png,1.4671999999999998,0.0001331397459165154
0.00045,0.00075,images/Madeleine holes/2D/-3holes2D.png,2.2007999999999996,0.0001997096188747731
0.0006,0.00075,images/Madeleine holes/2D/-3holes2D.png,2.9343999999999997,0.0002662794918330308
0.0007499999999999999,0.00075,images/Madeleine holes/2D/-3holes2D.png,3.6679999999999997,0.00033284936479128856
0.0009,0.00075,images/Madeleine holes/2D/-3holes2D.png,4.401599999999999,0.0003994192377495462
0.00105,0.00075,images/Madeleine holes/2D/-3holes2D.png,5.868799999999999,0.0005325589836660616
0.0012,0.00075,images/Madeleine holes/2D/-3holes2D.png,7.335999999999999,0.0006656987295825771
0.0013499999999999999,0.00075,images/Madeleine holes/2D/-3holes2D.png,8.803199999999999,0.0007988384754990924
0.0014999999999999998,0.00075,images/Madeleine holes/2D/-3holes2D.png,14.671999999999999,0.0013313974591651543
2023-07-05 14:26:29
x,y,image_filename,exposure_time,black_pixel_dwell_time
0.0,0.001,images/Madeleine holes/2D/-2holes2D.png,0.14672,1.3313974591651542e-05
0.00015,0.001,images/Madeleine holes/2D/-2holes2D.png,0.7335999999999999,6.65698729582577e-05
0.0003,0.001,images/Madeleine holes/2D/-2holes2D.png,1.4671999999999998,0.0001331397459165154
0.00045,0.001,images/Madeleine holes/2D/-2holes2D.png,2.2007999999999996,0.0001997096188747731
0.0006,0.001,images/Madeleine holes/2D/-2holes2D.png,2.9343999999999997,0.0002662794918330308
0.0007499999999999999,0.001,images/Madeleine holes/2D/-2holes2D.png,3.6679999999999997,0.00033284936479128856
0.0009,0.001,images/Madeleine holes/2D/-2holes2D.png,4.401599999999999,0.0003994192377495462
0.00105,0.001,images/Madeleine holes/2D/-2holes2D.png,5.868799999999999,0.0005325589836660616
0.0012,0.001,images/Madeleine holes/2D/-2holes2D.png,7.335999999999999,0.0006656987295825771
0.0013499999999999999,0.001,images/Madeleine holes/2D/-2holes2D.png,8.803199999999999,0.0007988384754990924
0.0014999999999999998,0.001,images/Madeleine holes/2D/-2holes2D.png,14.671999999999999,0.0013313974591651543
2023-07-05 14:27:34
x,y,image_filename,exposure_time,black_pixel_dwell_time
0.0,0.00125,images/Madeleine holes/2D/-1holes2D.png,0.14672,1.3313974591651542e-05
0.00015,0.00125,images/Madeleine holes/2D/-1holes2D.png,0.7335999999999999,6.65698729582577e-05
0.0003,0.00125,images/Madeleine holes/2D/-1holes2D.png,1.4671999999999998,0.0001331397459165154
0.00045,0.00125,images/Madeleine holes/2D/-1holes2D.png,2.2007999999999996,0.0001997096188747731
0.0006,0.00125,images/Madeleine holes/2D/-1holes2D.png,2.9343999999999997,0.0002662794918330308
0.0007499999999999999,0.00125,images/Madeleine holes/2D/-1holes2D.png,3.6679999999999997,0.00033284936479128856
0.0009,0.00125,images/Madeleine holes/2D/-1holes2D.png,4.401599999999999,0.0003994192377495462
0.00105,0.00125,images/Madeleine holes/2D/-1holes2D.png,5.868799999999999,0.0005325589836660616
0.0012,0.00125,images/Madeleine holes/2D/-1holes2D.png,7.335999999999999,0.0006656987295825771
0.0013499999999999999,0.00125,images/Madeleine holes/2D/-1holes2D.png,8.803199999999999,0.0007988384754990924
